[7/100][100/177]	Loss_D: 0.3556	Loss_G: 2.8942	D(x): 0.8583	D(G(z)): 0.1498 / 0.0677
[7/100][150/177]	Loss_D: 0.3552	Loss_G: 3.3607	D(x): 0.9174	D(G(z)): 0.2253 / 0.0430
[8/100][0/177]	Loss_D: 0.3393	Loss_G: 3.2017	D(x): 0.7851	D(G(z)): 0.0706 / 0.0481
[8/100][50/177]	Loss_D: 0.4008	Loss_G: 2.6501	D(x): 0.7786	D(G(z)): 0.1159 / 0.0871
[8/100][100/177]	Loss_D: 0.9060	Loss_G: 4.3610	D(x): 0.9612	D(G(z)): 0.4938 / 0.0263
[8/100][150/177]	Loss_D: 0.4553	Loss_G: 2.7555	D(x): 0.7904	D(G(z)): 0.1582 / 0.0714
[9/100][0/177]	Loss_D: 0.4776	Loss_G: 3.1525	D(x): 0.9407	D(G(z)): 0.3266 / 0.0518
[9/100][50/177]	Loss_D: 0.5408	Loss_G: 4.4612	D(x): 0.8901	D(G(z)): 0.3312 / 0.0128
[9/100][100/177]	Loss_D: 0.7744	Loss_G: 1.4412	D(x): 0.5208	D(G(z)): 0.0224 / 0.2836
[9/100][150/177]	Loss_D: 0.4026	Loss_G: 2.4268	D(x): 0.7483	D(G(z)): 0.0657 / 0.1027
[10/100][0/177]	Loss_D: 0.3187	Loss_G: 2.9542	D(x): 0.8432	D(G(z)): 0.1203 / 0.0631
[10/100][50/177]	Loss_D: 0.3919	Loss_G: 3.5471	D(x): 0.8915	D(G(z)): 0.2293 / 0.0325
[10/100][100/177]	Loss_D: 0.3791	Loss_G: 3.5319	D(x): 0.8991	D(G(z)): 0.2291 / 0.0322
[10/100][150/177]	Loss_D: 0.3286	Loss_G: 2.2309	D(x): 0.8185	D(G(z)): 0.1051 / 0.1224
[11/100][0/177]	Loss_D: 0.3456	Loss_G: 2.1773	D(x): 0.7907	D(G(z)): 0.0608 / 0.1430
[11/100][50/177]	Loss_D: 0.9216	Loss_G: 5.6226	D(x): 0.9740	D(G(z)): 0.5805 / 0.0072
[11/100][100/177]	Loss_D: 0.2586	Loss_G: 3.5788	D(x): 0.9172	D(G(z)): 0.1513 / 0.0302
[11/100][150/177]	Loss_D: 0.3968	Loss_G: 3.0804	D(x): 0.8242	D(G(z)): 0.1562 / 0.0510
[12/100][0/177]	Loss_D: 0.2280	Loss_G: 4.0821	D(x): 0.9140	D(G(z)): 0.1077 / 0.0195
[12/100][50/177]	Loss_D: 0.8584	Loss_G: 0.8858	D(x): 0.5035	D(G(z)): 0.0268 / 0.4373
[12/100][100/177]	Loss_D: 0.4507	Loss_G: 2.4983	D(x): 0.8568	D(G(z)): 0.2312 / 0.0923
[12/100][150/177]	Loss_D: 0.4456	Loss_G: 2.5124	D(x): 0.8049	D(G(z)): 0.1610 / 0.0878
[13/100][0/177]	Loss_D: 0.4444	Loss_G: 1.9305	D(x): 0.7449	D(G(z)): 0.1118 / 0.1535
[13/100][50/177]	Loss_D: 0.8446	Loss_G: 1.9063	D(x): 0.5506	D(G(z)): 0.0588 / 0.1759
[13/100][100/177]	Loss_D: 0.5333	Loss_G: 1.7559	D(x): 0.6889	D(G(z)): 0.0937 / 0.1801
[13/100][150/177]	Loss_D: 0.8235	Loss_G: 5.1121	D(x): 0.8762	D(G(z)): 0.4823 / 0.0087
[14/100][0/177]	Loss_D: 1.4993	Loss_G: 3.2745	D(x): 0.9692	D(G(z)): 0.7518 / 0.0427
[14/100][50/177]	Loss_D: 1.0516	Loss_G: 1.6447	D(x): 0.4378	D(G(z)): 0.0337 / 0.2150
[14/100][100/177]	Loss_D: 0.7026	Loss_G: 3.4395	D(x): 0.8578	D(G(z)): 0.4086 / 0.0349
[14/100][150/177]	Loss_D: 0.7865	Loss_G: 3.1133	D(x): 0.8783	D(G(z)): 0.4598 / 0.0501
[15/100][0/177]	Loss_D: 0.8405	Loss_G: 3.4192	D(x): 0.9476	D(G(z)): 0.5278 / 0.0365
[15/100][50/177]	Loss_D: 0.8235	Loss_G: 1.7852	D(x): 0.5289	D(G(z)): 0.0666 / 0.2879
[15/100][100/177]	Loss_D: 0.5814	Loss_G: 1.9374	D(x): 0.7205	D(G(z)): 0.1872 / 0.1555
[15/100][150/177]	Loss_D: 1.4031	Loss_G: 3.7465	D(x): 0.9227	D(G(z)): 0.7100 / 0.0283
[16/100][0/177]	Loss_D: 0.7675	Loss_G: 2.2910	D(x): 0.7455	D(G(z)): 0.3391 / 0.1078
[16/100][50/177]	Loss_D: 0.4572	Loss_G: 2.4641	D(x): 0.8131	D(G(z)): 0.2033 / 0.0953
[16/100][100/177]	Loss_D: 0.7334	Loss_G: 2.5133	D(x): 0.7939	D(G(z)): 0.3736 / 0.0914
[16/100][150/177]	Loss_D: 0.7292	Loss_G: 2.1358	D(x): 0.6873	D(G(z)): 0.2479 / 0.1295
[17/100][0/177]	Loss_D: 0.6064	Loss_G: 2.0332	D(x): 0.7569	D(G(z)): 0.2404 / 0.1418
[17/100][50/177]	Loss_D: 0.7512	Loss_G: 3.1702	D(x): 0.8452	D(G(z)): 0.4060 / 0.0463
[17/100][100/177]	Loss_D: 0.6803	Loss_G: 2.7505	D(x): 0.8135	D(G(z)): 0.3575 / 0.0696
[17/100][150/177]	Loss_D: 0.5404	Loss_G: 2.4926	D(x): 0.6992	D(G(z)): 0.1210 / 0.0937
[18/100][0/177]	Loss_D: 0.6275	Loss_G: 1.9085	D(x): 0.6517	D(G(z)): 0.1131 / 0.1786
[18/100][50/177]	Loss_D: 0.7343	Loss_G: 1.4579	D(x): 0.6286	D(G(z)): 0.1642 / 0.2486
[18/100][100/177]	Loss_D: 0.6939	Loss_G: 3.1074	D(x): 0.8269	D(G(z)): 0.3824 / 0.0522
[18/100][150/177]	Loss_D: 0.6453	Loss_G: 3.1918	D(x): 0.7965	D(G(z)): 0.3197 / 0.0468
[19/100][0/177]	Loss_D: 0.6057	Loss_G: 2.1541	D(x): 0.6940	D(G(z)): 0.1578 / 0.1278
[19/100][50/177]	Loss_D: 0.7019	Loss_G: 3.0493	D(x): 0.8319	D(G(z)): 0.3837 / 0.0561
[19/100][100/177]	Loss_D: 0.8300	Loss_G: 1.7152	D(x): 0.5095	D(G(z)): 0.0608 / 0.2113
[19/100][150/177]	Loss_D: 0.6300	Loss_G: 1.7193	D(x): 0.6479	D(G(z)): 0.1345 / 0.1943
[20/100][0/177]	Loss_D: 0.6682	Loss_G: 2.4688	D(x): 0.8134	D(G(z)): 0.3263 / 0.0960
[20/100][50/177]	Loss_D: 0.6045	Loss_G: 3.6890	D(x): 0.8868	D(G(z)): 0.3581 / 0.0282
[20/100][100/177]	Loss_D: 0.5615	Loss_G: 3.0893	D(x): 0.8216	D(G(z)): 0.2730 / 0.0546
[20/100][150/177]	Loss_D: 0.7588	Loss_G: 4.0019	D(x): 0.8667	D(G(z)): 0.4338 / 0.0209
[21/100][0/177]	Loss_D: 0.6454	Loss_G: 2.4493	D(x): 0.8052	D(G(z)): 0.3277 / 0.0939
[21/100][50/177]	Loss_D: 0.6427	Loss_G: 2.9755	D(x): 0.8329	D(G(z)): 0.3465 / 0.0573
[21/100][100/177]	Loss_D: 0.6240	Loss_G: 1.4590	D(x): 0.6856	D(G(z)): 0.1659 / 0.2426
[21/100][150/177]	Loss_D: 0.9637	Loss_G: 1.8022	D(x): 0.4543	D(G(z)): 0.0558 / 0.2179
[22/100][0/177]	Loss_D: 0.7448	Loss_G: 1.1689	D(x): 0.5959	D(G(z)): 0.1464 / 0.3280
[22/100][50/177]	Loss_D: 0.8146	Loss_G: 1.6653	D(x): 0.6425	D(G(z)): 0.2647 / 0.2068
[22/100][100/177]	Loss_D: 0.5671	Loss_G: 2.0014	D(x): 0.6718	D(G(z)): 0.0987 / 0.1476
[22/100][150/177]	Loss_D: 0.6915	Loss_G: 2.0161	D(x): 0.6827	D(G(z)): 0.1953 / 0.1498
[23/100][0/177]	Loss_D: 0.7688	Loss_G: 1.4539	D(x): 0.6505	D(G(z)): 0.2381 / 0.2490
[23/100][50/177]	Loss_D: 0.5993	Loss_G: 2.4375	D(x): 0.7491	D(G(z)): 0.2379 / 0.1296
[23/100][100/177]	Loss_D: 0.6977	Loss_G: 2.6550	D(x): 0.7910	D(G(z)): 0.3324 / 0.0793
[23/100][150/177]	Loss_D: 0.8077	Loss_G: 1.6795	D(x): 0.5415	D(G(z)): 0.0964 / 0.1973
